name,state,region,budget,climate,activity_type,best_season,vibe,rating,description,daily_cost_min,daily_cost_max,famous_for,crowd_level,language,best_food,entry_fee,stay_type,travel_mode,trek_difficulty,wildlife,unesco,honeymoon_suitable,family_suitable,solo_suitable,adventure_level,spiritual_level,photography_score,nearest_airport,nearest_railway,best_month,local_transport,avg_temp_summer,avg_temp_winter,internet_connectivity,medical_facilities,visa_required,currency_tips,off_season_discount,hidden_gem_score,instagram_worthy,night_life,shopping_rating,kid_friendly_score,pet_friendly,accessibility_score,hindi_name
Pangot,Uttarakhand,North,low,cold,nature,spring,nature,4.6,Bird-watching paradise near Nainital with over 580 species recorded,900,2500,Bird Watching|Himalayan Views|Peace,Low,Hindi|Kumaoni,Thali|Local Food,Free,Eco Lodge|Guesthouse,Car,Easy,Kalij Pheasant|Koklass Pheasant|Lammergeyer,No,No,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,पांगोट
Bhimtal,Uttarakhand,North,low,mild,nature,summer,nature,4.4,Larger and quieter alternative to Nainital with an island in the lake,800,2200,Lake|Island Aquarium|Peace,Low,Hindi|Kumaoni,Thali|Bal Mithai,Free,Hotel|Guesthouse,Car,,Kingfisher|Osprey,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,भीमताल
Chakrata,Uttarakhand,North,low,cold,nature,summer,nature,4.4,Offbeat cantonment hill with Tiger Falls and dense deodar forests,700,2000,Tiger Falls|Deodar Forest|Colonial,Low,Hindi,Thali|Maggi|Local Food,Free,Hotel|Camp,Car,Easy,Himalayan Bear|Barking Deer,No,No,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,चकराता
Dalhousie,Himachal Pradesh,North,low,cold,nature,summer,nature,4.4,Charming colonial hill station with Subhash Baoli and Kalatop forest,800,2400,Colonial Charm|Forest|Views,Medium,Hindi|Pahari,Thali|Sidu|Rajma Chawal,Free,Hotel|Guesthouse,Bus|Car,Easy,Himalayan Monal|Barking Deer,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,डलहौज़ी
Khimsar,Rajasthan,North,medium,hot,adventure,winter,adventure,4.4,Offbeat desert experience with sand dunes village life and heritage fort,1500,5000,Desert|Heritage Fort|Village Life,Low,Hindi|Rajasthani,Dal Baati|Thali|Kheer,Free,Heritage Fort|Desert Camp,Car,,Desert Fox|Chinkara|Great Indian Bustard,No,Yes,Yes,Yes,Medium,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,खिमसर
Magnetic Hill,Jammu & Kashmir,North,low,cold,nature,summer,nature,4.3,Mysterious gravity-defying hill where vehicles appear to roll uphill,1500,4000,Gravity Hill|Monastery|Indus River,Low,Ladakhi|Hindi,Thukpa|Butter Tea|Tsampa,Free,Guesthouse|Budget Hotel,Car|Bike,,Himalayan Marmot,No,No,Yes,Yes,Low,Medium,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मैग्नेटिक हिल
Kasol,Himachal Pradesh,North,low,mild,adventure,spring,adventure,4.5,Backpacker paradise in Parvati Valley with Israeli food and trekking,700,2200,Backpacking|Trekking|Parvati River,Low,Hindi|Hebrew,Israeli Food|Momos|Thali,Free,Guesthouse|Camp,Bus|Car,Moderate,Himalayan Bear|Musk Deer,No,No,Yes,Yes,High,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कसोल
Parashar Lake,Himachal Pradesh,North,low,cold,adventure,summer,adventure,4.7,Mystical high-altitude lake with a floating island and ancient temple,800,2200,Floating Island|Temple|Trekking,Low,Hindi|Mandi,Thali|Siddu|Local Food,Free,Camp|Trek Hut,Car|Trek,Moderate,Snow Pigeon|Himalayan Griffin,No,No,Yes,Yes,High,High,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,पराशर झील
Morni Hills,Haryana,North,low,mild,nature,spring,nature,4.3,Haryana's only hill station with twin lakes and dense forests,700,2000,Twin Lakes|Forest|Peace,Low,Hindi|Punjabi,Thali|Lassi|Paratha,Free,Hotel|Forest Rest House,Car,Easy,Sambar|Barking Deer,No,Yes,Yes,Yes,Low,Low,6,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मोरनी हिल्स
Daringbadi,Odisha,East,low,mild,nature,winter,nature,4.4,Kashmir of Odisha with coffee plantations and pine forests,800,2200,Pine Forests|Coffee|Kashmir of Odisha,Low,Odia|Kondh,Dalma|Pakhala|Rice Beer,Free,Guesthouse|Resort,Car,Easy,Elephant|Barking Deer,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,डारिंगबाड़ी
Deomali,Odisha,East,low,mild,adventure,winter,adventure,4.4,Highest peak of Odisha with tribal culture and untouched beauty,700,2000,Highest Peak|Tribal Culture|Forest,Low,Odia|Telugu,Dalma|Pitho Roti|Rice Beer,Free,Camp|Guesthouse,Car|Trek,Moderate,Elephant|Gaur,No,No,Yes,Yes,Medium,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,देओमाली
Lohit Valley,Arunachal Pradesh,Northeast,low,tropical,nature,winter,nature,4.5,Remote valley with golden Mahseer fish and Mishmi Hills,900,2500,Mahseer Fishing|Mishmi Culture|River,Low,Idu Mishmi|Hindi,Smoked Meat|Bamboo Shoot|Rice Beer,Free,Guesthouse|Camp,Car,,Golden Mahseer|Hoolock Gibbon,No,No,Yes,Yes,Medium,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,लोहित घाटी
Longwa Village,Nagaland,Northeast,low,mild,cultural,winter,cultural,4.6,Village split by India-Myanmar border where king's hut lies in two countries,900,2500,International Border|Konyak Tribe|Head Hunters,Low,Konyak|Assamese,Smoked Pork|Axone|Rice Beer,Free,Homestay|Guesthouse,Car,,Hornbill,No,No,Yes,Yes,Low,Medium,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,लोंगवा गांव
Dzukou Valley Trek,Nagaland,Northeast,low,mild,adventure,summer,adventure,4.8,Epic trek through the valley of flowers crossing Nagaland-Manipur border,800,2200,Valley of Flowers|Trek|Rare Flowers,Low,Naga|Hindi,Camp Food|Rice|Smoked Meat,Free,Trek Hut|Camp,Trek Only,Challenging,Hornbill|Blyth's Tragopan,No,No,Yes,Yes,Very High,Low,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,ज़ुकू घाटी ट्रेक
Loktak Lake,Manipur,Northeast,low,mild,nature,winter,nature,4.5,Largest freshwater lake in Northeast India with floating phumdis,800,2200,Floating Islands|Sangai Deer|Phumdi,Low,Meitei|Hindi,Eromba|Singju|Chamthong,Free,Guesthouse|Eco Lodge,Car,,Sangai|Water Birds,No,No,Yes,Yes,Low,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,लोकताक झील
Keibul Lamjao,Manipur,Northeast,low,mild,nature,winter,nature,4.6,World's only floating national park home to the endangered Sangai deer,900,2500,Sangai Deer|Floating Park|Unique,Low,Meitei|Hindi,Eromba|Ngari|Chamthong,500,Eco Lodge|Guesthouse,Car,,Sangai|Water Monitor,No,No,Yes,Yes,Low,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,केइबुल लामजाओ
Phawngpui,Mizoram,Northeast,low,mild,nature,spring,nature,4.7,Blue Mountain of Mizoram with stunning views and rare Blyth's Tragopan,900,2500,Blue Mountain|Blyth Tragopan|Sunrise,Low,Mizo|Hindi,Bai|Sawhchiar|Zu,Free,Eco Lodge|Guesthouse,Trek Only,Moderate,Blyth's Tragopan|Clouded Leopard,No,No,Yes,Yes,Medium,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,फांगपुई
Vantawng Falls,Mizoram,Northeast,low,tropical,nature,monsoon,nature,4.5,Mizoram's highest waterfall cascading 751 feet through dense forest,700,2000,Highest Waterfall|Forest|Remote,Low,Mizo|Hindi,Bai|Sawhchiar|Local Food,Free,Guesthouse|Budget Hotel,Car|Trek,Moderate,Hoolock Gibbon|Hornbill,No,No,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,वांतांग जलप्रपात
Unakoti,Tripura,Northeast,low,mild,cultural,winter,cultural,4.6,Rock cut sculptures carved into a hillside - legend of one less than a crore,600,1800,Rock Carvings|Shiva Sculptures|Forest,Low,Bengali|Kokborok,Mui Borok|Berma|Rice Beer,Free,Guesthouse|Budget Hotel,Car,Easy,Hoolock Gibbon|Hornbill,No,No,Yes,Yes,Low,High,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,उनाकोटी
Neermahal,Tripura,Northeast,low,tropical,cultural,winter,cultural,4.5,Beautiful water palace built by Maharaja of Tripura in the middle of a lake,600,1800,Water Palace|Lake|Royal Heritage,Low,Bengali|Kokborok,Mui Borok|Fish Curry|Rice,50,Hotel|Guesthouse,Car|Boat,,Kingfisher|Darter,No,Yes,Yes,Yes,Low,Medium,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,नीरमहल
Tezpur,Assam,Northeast,low,tropical,cultural,winter,cultural,4.4,City of eternal romance with ancient ruins and scenic Brahmaputra views,700,2000,Ancient Ruins|Brahmaputra|Peace,Low,Assamese,Khar|Masor Tenga|Pitha,Free,Hotel|Guesthouse,Flight|Train|Car,,River Dolphin|Birds,No,Yes,Yes,Yes,Low,Medium,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,तेज़पुर
Majhuli Satra,Assam,Northeast,low,tropical,cultural,winter,spiritual,4.5,Cultural heartland of Vaishnavism with 22 satras and mask making tradition,700,2000,Satras|Mask Making|Cultural Heritage,Low,Assamese,Khar|Pitha|Luchi,Free,Guesthouse|Homestay,Ferry,,Birds|River Otter,No,Yes,Yes,Yes,Low,Very High,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,माजुली सत्र
Bomdila,Arunachal Pradesh,Northeast,low,mild,cultural,spring,cultural,4.5,Gateway to Tawang with beautiful monasteries and apple orchards,900,2500,Monasteries|Apple Orchards|Gateway,Low,Monpa|Hindi,Thukpa|Momos|Apong,Free,Guesthouse|Hotel,Car,Easy,Red Panda|Clouded Leopard,No,Yes,Yes,Yes,Low,High,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,बोमडिला
Along,Arunachal Pradesh,Northeast,low,mild,adventure,spring,adventure,4.5,Adventure capital of Arunachal with Siang river rafting,900,2800,Rafting|Adi Tribe|Siang River,Low,Adi|Hindi,Apong|Bamboo Shoot|Smoked Pork,Free,Guesthouse|Camp,Car|Flight,,Hoolock Gibbon|Clouded Leopard,No,No,Yes,Yes,High,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,अलोंग
Mechuka,Arunachal Pradesh,Northeast,low,cold,nature,summer,nature,4.8,Remote valley near China border with ancient monastery and pristine river,1000,3000,Remote Beauty|Ancient Monastery|Siyom River,Low,Memba|Hindi,Gyapa|Local Thali|Rice Wine,Free,Guesthouse|Homestay,Car|Flight,Moderate,Snow Leopard|Musk Deer,No,No,Yes,Yes,Medium,High,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मेचुका
Pakke,Arunachal Pradesh,Northeast,medium,tropical,nature,winter,nature,4.6,Tiger reserve famous for hornbill nesting and wildlife photography,2000,5000,Hornbill|Tiger|Elephant|Photography,Low,Nyishi|Hindi,Smoked Meat|Rice|Bamboo Shoot,Free,Eco Lodge|Forest Bungalow,Car,,Hornbill|Tiger|Clouded Leopard,No,No,Yes,Yes,Medium,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,पक्के
Walong,Arunachal Pradesh,Northeast,low,cold,adventure,summer,adventure,4.7,Easternmost town of India at the Sino-Indian border with war memorial,1000,3000,India's Easternmost Town|War Memorial|Lohit River,Low,Meyor|Hindi,Rice Beer|Smoked Pork|Bamboo Shoot,Free,Guesthouse|Camp,Car,Moderate,Hoolock Gibbon|Clouded Leopard,No,No,Yes,Yes,Medium,Medium,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,वालोंग
Lambasingi,Andhra Pradesh,South,low,cold,nature,winter,nature,4.5,Kashmir of Andhra Pradesh with rare fog and cold temperatures,700,2000,Fog|Cold Climate|Apple Orchards,Low,Telugu,Gongura Mutton|Pesarattu|Avakaya,Free,Camp|Guesthouse,Car,Easy,Leopard|Barking Deer,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,लांबासिंगी
Horsley Hills,Andhra Pradesh,South,low,mild,nature,summer,nature,4.4,Cool hill station in Andhra with colonial bungalows and eucalyptus forests,700,2000,Colonial Bungalows|Peace|Sunrise,Low,Telugu,Gongura Rice|Pesarattu|Thali,Free,Hotel|Guesthouse,Car|Bus,Easy,Spotted Deer|Sambar,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,हॉर्सली हिल्स
Belum Caves,Andhra Pradesh,South,low,hot,adventure,winter,cultural,4.5,Second longest natural caves in Indian subcontinent with stalactites,500,1500,Natural Caves|Stalactites|Underground,Low,Telugu,Pesarattu|Thali|Local Food,150,Budget Hotel|Day Trip,Car|Bus,,Cave Fish,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,बेलम गुफाएं
Bhongir Fort,Telangana,South,low,hot,adventure,winter,cultural,4.4,Monolithic rock fort perched on a single massive boulder near Hyderabad,500,1500,Monolithic Fort|Rock Climbing|History,Low,Telugu,Hyderabadi Biryani|Mirchi Ka Salan,30,Day Trip Only,Car|Bus,Moderate,Vulture|Eagle,No,Yes,Yes,Yes,Medium,Medium,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,भोंगीर किला
Kurnool Caves,Andhra Pradesh,South,low,hot,cultural,winter,cultural,4.3,Prehistoric Belum and Yaganti caves with ancient carvings and fossils,500,1500,Prehistoric Caves|Fossils|Ancient Carvings,Low,Telugu,Pesarattu|Thali|Local Food,100,Day Trip|Budget Hotel,Car|Bus,,Cave Bat,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कुर्नूल गुफाएं
Bheemunipatnam,Andhra Pradesh,South,low,tropical,beach,winter,nature,4.4,Northernmost beach of Andhra with Dutch cemetery and lighthouse,600,1800,Dutch Cemetery|Lighthouse|Quiet Beach,Low,Telugu,Seafood|Pesarattu|Fish Curry,Free,Beach Resort|Budget Hotel,Car|Bus,,Sea Turtle|Dolphin,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,भीमुनिपट्टनम
Arvalem,Goa,West,low,tropical,cultural,winter,cultural,4.4,Ancient rock cut caves and scenic waterfall in North Goa,1200,3500,Rock Cut Caves|Waterfall|History,Low,Konkani|Marathi,Fish Curry|Xacuti|Bebinca,Free,Budget Hotel|Guesthouse,Car|Bus,,Kingfisher,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,अरवलेम
Cabo de Rama,Goa,West,low,tropical,beach,winter,romantic,4.5,Ruined Portuguese fort with stunning cliffs overlooking the Arabian Sea,1200,3500,Portuguese Fort|Cliffs|Secluded Beach,Low,Konkani|English,Fish Curry|Prawn Balchao,Free,Beach Hut|Budget Hotel,Car,Easy,Sea Eagle|Dolphin,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,काबो डी रामा
Divar Island,Goa,West,low,tropical,nature,winter,romantic,4.4,Peaceful river island with Portuguese mansions and village life,1200,3500,Portuguese Mansions|Village Life|River,Low,Konkani|Marathi,Fish Curry|Sorpotel|Local Food,Free,Homestay|Villa,Ferry|Bike,,Kingfisher|Cormorant,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,दीवार द्वीप
Salim Ali Bird Sanctuary,Goa,West,low,tropical,nature,winter,nature,4.5,Crocodile-inhabited mangrove sanctuary named after famous ornithologist,1200,3500,Mangroves|Birds|Crocodile|Boat Safari,Low,Konkani|English,Seafood|Local Food,Free,Budget Hotel|Guesthouse,Boat|Car,,Crocodile|Kingfisher|Purple Heron,No,No,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,सलीम अली पक्षी अभयारण्य
Bhimgad,Karnataka,South,low,tropical,nature,monsoon,nature,4.5,Home to the Wroughton's Free-tailed Bat and dense Sahyadri forests,800,2200,Rare Bat Colony|Forest|Trek,Low,Kannada,Kadle Mannu|Local Food|Thali,Free,Forest Lodge|Camp,Car|Trek,Moderate,Wroughton's Bat|Leopard|Sambar,No,No,Yes,Yes,Medium,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,भीमगड़
Kudremukh,Karnataka,South,low,mild,adventure,monsoon,adventure,4.6,Horse Face peak trek through shola forests and grasslands,900,2500,Horse Face Peak|Shola Forest|Trekking,Low,Kannada|Tulu,Kadle Mannu|Local Food|Akki Roti,Free,Forest Lodge|Camp,Car|Trek,Challenging,Gaur|Lion-Tailed Macaque|Fishing Cat,No,No,Yes,Yes,Very High,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कुद्रेमुख
Agumbe,Karnataka,South,low,tropical,nature,monsoon,nature,4.5,Cherrapunji of the South with King Cobra research station and sunsets,800,2200,King Cobra|Rainforest|Sunset,Low,Kannada|Tulu,Local Thali|Kadle Mannu,Free,Homestay|Eco Lodge,Car,Moderate,King Cobra|Lion-Tailed Macaque,No,No,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,अगुम्बे
Mullayanagiri,Karnataka,South,low,mild,adventure,monsoon,adventure,4.6,Highest peak of Karnataka with spectacular views from 1930m,900,2800,Highest Peak|Trekking|Cloud Walk,Low,Kannada,Thali|Filter Coffee|Kadle Mannu,Free,Homestay|Resort,Car|Trek,Moderate,Elephant|Gaur|Leopard,No,No,Yes,Yes,High,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मुल्लयानगिरी
Bandipur,Karnataka,South,medium,hot,nature,winter,nature,4.7,Premier tiger reserve with excellent wildlife viewing and safaris,2000,6000,Tiger|Elephant|Leopard|Wild Dog,Medium,Kannada|Telugu,South Indian Thali|Filter Coffee,500,Jungle Lodge|Forest Bungalow,Car,,Tiger|Elephant|Gaur|Wild Dog,No,Yes,Yes,Yes,Medium,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,बांदीपुर
Nagarhole,Karnataka,South,medium,tropical,nature,winter,nature,4.7,Rajiv Gandhi National Park with excellent leopard and tiger sightings,2000,6000,Tiger|Leopard|Elephant|Gaur,Low,Kannada,South Indian Thali|Filter Coffee,500,Jungle Lodge|Eco Resort,Car,,Tiger|Leopard|Elephant|Dhole,No,Yes,Yes,Yes,Medium,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,नागरहोले
Hogenakkal,Tamil Nadu,South,low,hot,nature,summer,nature,4.5,Niagara of India where Kaveri River splits into numerous channels,700,2000,Waterfalls|Coracle Rides|Fish Massage,Low,Tamil|Kannada,Fish Curry|Idli|Dosa,Free,Budget Hotel|Guesthouse,Car|Bus,,Smooth-coated Otter|Mahseer,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,होगेनक्कल
Yercaud,Tamil Nadu,South,low,mild,nature,spring,nature,4.3,Offbeat Shevaroy Hills coffee estate with orange orchards and boating,700,2000,Coffee|Orange Orchards|Quiet,Low,Tamil,Filter Coffee|Rice Thali|Idli,Free,Hotel|Guesthouse,Car|Bus,Easy,Spotted Deer|Sambar,No,Yes,Yes,Yes,Low,Low,6,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,येरकॉड
Kodaikanal,Tamil Nadu,South,low,mild,nature,spring,nature,4.5,Princess of Hill Stations with star-shaped lake and coaker's walk,900,2800,Kodai Lake|Coakers Walk|Cheese,Medium,Tamil,Kodai Butter|Home-made Chocolate|Thali,Free,Hotel|Guesthouse,Car|Bus,Easy,Nilgiri Marten|Gaur,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कोडाइकनाल
Topslip,Tamil Nadu,South,medium,tropical,nature,winter,nature,4.6,Rich wildlife area in Anamalai Tiger Reserve with lion-tailed macaque,1800,5000,Lion-tailed Macaque|Elephant|Gaur,Low,Tamil|Kannada,South Indian Meals|Filter Coffee,500,Forest Bungalow|Eco Lodge,Car,,Lion-Tailed Macaque|Elephant|Gaur|Sloth Bear,No,Yes,Yes,Yes,Medium,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,टॉपस्लिप
Kolukkumalai,Kerala,South,low,cold,adventure,winter,nature,4.7,World's highest tea estate at 2400m with spectacular sunrise over clouds,1000,3000,Highest Tea Estate|Sunrise|Cloud Walk,Low,Malayalam|Tamil,Kerala Tea|Parotta|Egg Curry,Free,Homestay|Eco Lodge,Jeep Only,Challenging,Nilgiri Tahr|Sambar,No,No,Yes,Yes,Medium,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कोलुक्कुमलाई
Parambikulam,Kerala,South,medium,tropical,nature,winter,nature,4.6,Hidden gem with massive teak trees and excellent wildlife corridor,1800,5000,Giant Teak|Elephant|Tiger|Pristine,Low,Malayalam|Tamil,Kerala Meals|Bamboo Rice|Tribal Food,500,Forest Bungalow|Eco Lodge,Car,,Elephant|Tiger|Gaur,Yes,Yes,Yes,Yes,Medium,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,परम्बिकुलम
Thenmala,Kerala,South,low,tropical,nature,monsoon,nature,4.4,India's first planned eco-tourism destination with butterfly corridor,800,2200,Eco Tourism|Butterfly|Sculpture Garden,Low,Malayalam,Kerala Meals|Seafood|Payasam,Free,Eco Lodge|Resort,Car,Easy,Elephant|Gaur|Leopard,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,थेन्मला
Silent Valley,Kerala,South,medium,tropical,nature,winter,nature,4.7,Last silent rainforest in India with no frogs due to lack of roads,2000,5000,Silent Rainforest|Lion-tailed Macaque|Pristine,Low,Malayalam,Kerala Forest Food|Local Tribal,500,Forest Guest House,Car|Trek,Moderate,Lion-Tailed Macaque|Tiger|Leopard,Yes,No,Yes,Yes,Low,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,साइलेंट वैली
Athirappilly,Kerala,South,low,tropical,nature,monsoon,nature,4.6,Niagara of India and shooting location for multiple films,900,2800,Waterfall|Film Location|Forest,Medium,Malayalam,Kerala Thali|Seafood|Puttu,Free,Resort|Guesthouse,Car|Bus,,Elephant|Hornbill|Lion-tailed Macaque,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,अथिरापिल्ली
Wayanad,Kerala,South,low,tropical,nature,winter,nature,4.6,Misty hill district with coffee cardamom plantations and tribal culture,1200,3500,Coffee|Cardamom|Tribal Culture|Wildlife,Medium,Malayalam,Kerala Meals|Bamboo Rice|Tribal Food,Free,Treehouse|Homestay|Resort,Car,Easy,Elephant|Leopard|Gaur,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,वायनाड
Nelliampathy,Kerala,South,low,mild,nature,winter,nature,4.5,Least visited hill station of Kerala with orange and cardamom plantations,900,2500,Orange Plantation|Peace|Cardamom,Low,Malayalam,Orange Juice|Kerala Meals|Local Tea,Free,Guesthouse|Homestay,Car,Easy,Elephant|Gaur|Wild Boar,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,नेल्लियाम्पथी
Idukki,Kerala,South,low,tropical,nature,winter,nature,4.5,Arch dam district with Kerala's highest peak Anamudi and Eravikulam,1000,3000,Arch Dam|Anamudi|Eravikulam,Low,Malayalam,Kerala Meals|Wild Honey|Bamboo Rice,500,Homestay|Resort,Car,Moderate,Nilgiri Tahr|Elephant,Yes,Yes,Yes,Yes,Medium,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,इडुक्की
Kumily,Kerala,South,low,tropical,nature,winter,nature,4.5,Gateway to Periyar with spice plantations and elephant safaris,1100,3200,Periyar|Spice Garden|Elephant Boat,Medium,Malayalam,Kerala Meals|Spice Tea|Cardamom,500,Resort|Homestay,Car|Bus,,Elephant|Gaur|Nilgiri Langur,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कुमिली
